id,code,model,captive,battery_level,estimated_range,Origin_Dist,Date,Time,Origin_Loc,nest_id,latitude,longitude
77856aa8-eb4e-49e4-a966-1362d9d81374,,bd,False,67,8220,0.10254408221767237,2019-08-31,15-39-19,DC-GWU,,38.90082065019654,-77.04773420475148
5a147845-7f5d-4eaa-ab2e-284510b74d7a,,bd,False,56,6850,0.1690526221880219,2019-08-31,15-39-19,DC-GWU,,38.90191788283145,-77.0498385556289
9ee5f59f-dd34-4c2a-81c1-beeb98b1d8a5,,bd,False,60,7261,0.17252935243631676,2019-08-31,15-39-19,DC-GWU,,38.897257,-77.04994
cd8eb96c-5ce5-43d8-bddc-8ff2dfa1e981,,bd,False,98,11919,0.19785037052362114,2019-08-31,15-39-19,DC-GWU,,38.897531,-77.051362
82a6024e-44a9-4cf4-a58f-f84c5077027d,,bd,False,66,8083,0.20714887500663517,2019-08-31,15-39-19,DC-GWU,,38.897447,-77.051499
2da9a061-46a2-44d6-83f1-f76674e343d0,,bd,False,97,11782,0.2255303963481845,2019-08-31,15-39-19,DC-GWU,,38.897158,-77.051602
bc7ce639-6ca9-4847-870c-c269eb909add,,bd,False,100,12193,0.2395270082016913,2019-08-31,15-39-19,DC-GWU,,38.897334,-77.045453
647ddd71-161a-472c-8e91-8d038d2b156d,,bd,False,37,4521,0.2473223635552139,2019-08-31,15-39-19,DC-GWU,,38.896522,-77.051173
eed9c07e-5b9e-4e01-a0b6-a15a13b42cc4,,bd,False,89,10823,0.2510163030593104,2019-08-31,15-39-19,DC-GWU,,38.896589,-77.051435
dd1d421f-bd88-4cc2-807c-df90bf678bf5,,bd,False,36,4384,0.2914402419353343,2019-08-31,15-39-19,DC-GWU,,38.897608,-77.044052
2ec20689-be65-4f16-8cb6-0f0cf38684ee,,bd,False,21,2603,0.29872048660935896,2019-08-31,15-39-19,DC-GWU,,38.90047217349803,-77.04339172510984
1fc24929-f7eb-4021-a77c-d8765f3843f7,,bd,False,72,8768,0.30255133342571605,2019-08-31,15-39-19,DC-GWU,,38.90395,-77.048102
5bd75c0c-59a1-43d3-92cc-04dc86df9561,,bd,False,80,9727,0.30799068923829886,2019-08-31,15-39-19,DC-GWU,,38.899326,-77.054523
a3463a0c-7b45-422b-8fa7-63914c25be06,,bd,False,87,10549,0.31250427617273036,2019-08-31,15-39-19,DC-GWU,,38.900556,-77.054487
cbb76984-ce86-48cc-937f-fbffa0270637,,bd,False,30,3699,0.3166040656523747,2019-08-31,15-39-19,DC-GWU,,38.897463,-77.043622
1101f0d4-34c7-49c8-976f-aafb8af36c8f,,bd,False,54,6576,0.32290577399940384,2019-08-31,15-39-19,DC-GWU,,38.897405,-77.043529
20f991af-2a2e-4cc4-9ec2-24f43f6fa617,,bd,False,58,7124,0.33180923286344843,2019-08-31,15-39-19,DC-GWU,,38.901026,-77.054699
